gene_symbol	s_het	s_het_lower95	s_het_upper95	NFE_s_het	NFE_s_het_lower95	NFE_s_het_upper95	rank	quintile	decile	U	N	NFE_N	n	NFE_n
FOXO4	0.1840565427	0.022	0.779	0.11252	0	1	1887	1	2	8.73E-07	74047.89474	43436.0455	0	0
CGB1	0.1839083274	0.01	1	0.07124	0	0	1888	1	2	2.15E-07	114304.9825	50833.6842	0	0
H3F3A	0.1838891981	0.01	1	0.07123	0	0	1889	1	2	2.76E-07	89021.44615	51827.4167	0	0
SPINK2	0.1838837811	0.01	1	0.07123	0	0	1890	1	2	2.75E-07	89339.34066	35028.7143	0	0
LPHN3	0.183874747	0.053	0.554	0.14438	0	0	1891	1	2	3.46E-06	99742.1441799999	64675	2	1
IDH3G	0.1836447654	0.022	0.778	0.11217	0	1	1892	1	2	8.59E-07	74895.82143	40067.4474	0	0
ETV3	0.1836224982	0.022	0.777	0.11216	0	1	1893	1	2	8.54E-07	75314.82278	31834.9333	0	0
ZBTB17	0.1836146723	0.038	0.668	0.12858	0	1	1894	1	2	1.75E-06	102503.2268	65830	1	0
DLL4	0.1834493778	0.038	0.668	0.12845	0	1	1895	1	2	1.70E-06	105384.8462	66698	1	0
ZBTB21	0.1833735133	0.038	0.668	0.12839	0	0	1896	1	2	1.49E-06	120168.0241	66714	1	1
SPRR4	0.1833712417	0.01	1	0.07091	0	0	1897	1	2	2.02E-07	120876.7467	66732.4	0	0
OR12D2	0.1833534003	0.01	1	0.0709	0	0	1898	1	2	2.11E-07	115695.9556	63298.566	0	0
SLC16A2	0.1833018498	0.022	0.777	0.11189	0	1	1899	1	2	9.08E-07	70571.90909	31073.1538	0	0
HNRNPH3	0.1831926447	0.038	0.667	0.12824	0	0	1900	1	2	1.51E-06	118412.4292	66732	1	1
MAZ	0.1830920409	0.022	0.776	0.11171	0	1	1901	1	2	7.89E-07	81017.44762	49559.644	0	0
NR5A1	0.1827202709	0.022	0.775	0.1114	0	1	1902	1	2	7.71E-07	82549.7386	47737.9806	0	0
PRPF38A	0.1826364457	0.038	0.665	0.12779	0	0	1903	1	2	1.51E-06	117908.6709	65542	1	1
C2CD2L	0.1825597732	0.038	0.665	0.12773	0	0	1904	1	2	1.58E-06	112618.5543	66654	1	1
TOMM70A	0.1825503562	0.038	0.665	0.12772	0	0	1905	1	2	1.64E-06	108490.5173	66706	1	1
BLID	0.1825287268	0.01	1	0.07039	0	0	1906	1	2	2.03E-07	119061.3333	66542.9231	0	0
PSMD12	0.1824599107	0.038	0.665	0.12765	0	0	1907	1	2	1.55E-06	114710.2439	66374	1	1
RPL28	0.1824220935	0.01	1	0.07032	0	0	1908	1	2	2.88E-07	83813.1519	48468.0952	0	0
EXOC8	0.1822601972	0.038	0.664	0.12749	0	0	1909	1	2	1.50E-06	118352.08	66700	1	1
TEK	0.1820193322	0.053	0.55	0.14282	0	0	1910	1	2	2.87E-06	118780.2573	66534	2	2
MMP14	0.1820115002	0.038	0.664	0.12729	0	1	1911	1	2	1.61E-06	110055.0635	65464	1	0
PIGA	0.1819657702	0.022	0.773	0.11076	0	1	1912	1	2	7.50E-07	84114.1055899999	47851.8966	0	0
BAI3	0.1819327639	0.064	0.482	0.15175	0	1	1913	1	2	4.45E-06	115447.2987	66067.3333	3	1
BAZ2A	0.1818538265	0.063	0.482	0.15168	0	0	1914	1	2	4.87E-06	105438.9376	44108.6667	3	1
SENP5	0.1818502744	0.038	0.663	0.12716	0	0	1915	1	2	1.51E-06	117197.8104	66270	1	1
KBTBD2	0.1815740321	0.038	0.662	0.12693	0	0	1916	1	2	1.52E-06	116178.9638	65866	1	1
TUSC2	0.1813865706	0.01	1	0.06968	0	0	1917	1	2	3.52E-07	67714.60759	33118.7778	0	0
FADD	0.1812852969	0.01	1	0.06962	0	0	1918	1	2	2.51E-07	94844.76389	53861.2308	0	0
HECTD1	0.1812099303	0.078	0.405	0.16085	0	0	1919	1	2	7.58E-06	114241.6218	64052.8	5	3
FBXO30	0.1811846549	0.037	0.661	0.12662	0	0	1920	1	2	1.46E-06	120590.0907	65970	1	1
BRINP1	0.1811319208	0.037	0.661	0.12658	0	0	1921	1	2	1.51E-06	116549.4877	66660	1	1
KRTAP5-7	0.1810702613	0.01	1	0.06949	0	0	1922	1	2	2.03E-07	116962.7568	65979.2941	0	0
G3BP2	0.1809484683	0.037	0.661	0.12643	0	1	1923	1	2	1.50E-06	117160	62392	1	0
SST	0.1807683193	0.01	1	0.0693	0	0	1924	1	2	2.59E-07	91334.63636	48108.4706	0	0
MARCKSL1	0.1807029787	0.01	1	0.06926	0	0	1925	1	2	2.21E-07	106953.3793	62833.7576	0	0
MTM1	0.1805637446	0.037	0.66	0.12612	0	1	1926	1	2	2.13E-06	82261.3442	47901	1	0
OR51A2	0.1804505549	0.01	1	0.06911	0	0	1927	1	2	2.54E-07	92769.53125	52129.48	0	0
WAPAL	0.1801234594	0.052	0.545	0.14122	0	0	1928	1	2	2.93E-06	114884.4912	56620	2	2
KLHL2	0.180045354	0.037	0.658	0.1257	0	0	1929	1	2	1.62E-06	107723.6401	66718	1	1
FAM199X	0.1799715823	0.022	0.768	0.10908	0	1	1930	1	2	7.75E-07	79504.40909	44394.8276	0	0
FAM155B	0.179887403	0.022	0.768	0.10901	0	1	1931	1	2	9.28E-07	66329.99507	40261.3529	0	0
RPGR	0.1797697952	0.037	0.657	0.12548	0	1	1932	1	2	2.48E-06	70217.03723	44988	1	0
EIF4ENIF1	0.1796609723	0.052	0.543	0.14083	0	0	1933	1	2	2.92E-06	114920.375	66025	2	1
S100A9	0.1796258464	0.01	1	0.0686	0	0	1934	1	2	2.40E-07	97187.08911	62647.44	0	0
BEX1	0.1795675267	0.01	1	0.06857	0	0	1935	1	2	2.71E-07	86007.64912	47662.5294	0	0
NRG2	0.179487756	0.037	0.656	.	.	.	1936	1	2	1.79E-06	97070.21181	774	1	1
EPHA4	0.1794828286	0.052	0.543	0.14068	0	0	1937	1	2	2.84E-06	118016.0339	65716	2	2
SOCS3	0.1794659833	0.01	1	0.0685	0	0	1938	1	2	2.30E-07	101212.1087	52641.9	0	0
RICTOR	0.1794502163	0.071	0.432	0.15533	0	1	1939	1	2	5.96E-06	114164.8333	66342	4	1
KIF1B	0.1793566053	0.071	0.432	0.15525	0	0	1940	1	2	5.78E-06	117652.8374	66682	4	2
TRIM71	0.1792071805	0.037	0.656	0.12503	0	0	1941	1	2	1.63E-06	106365.2516	46236	1	1
ZNF687	0.1791238595	0.037	0.655	0.12496	0	1	1942	1	2	1.55E-06	111782.239	33424	1	0
FAF2	0.1790546818	0.037	0.655	0.1249	0	0	1943	1	2	1.62E-06	106894.2971	66606	1	1
PEA15	0.1790193199	0.01	1	0.06823	0	0	1944	1	2	2.13E-07	108686.1584	66625.2857	0	0
PHACTR1	0.1789973973	0.01	1	0.06822	0	0	1945	1	2	2.35E-07	98484.45354	56929.0758	0	0
MED19	0.178978197	0.01	1	0.0682	0	0	1946	1	2	2.49E-07	92925	49626.64	0	0
CDH8	0.1788279508	0.037	0.655	0.12472	0	1	1947	1	2	1.50E-06	115241.1614	66698	1	0
TCEAL4	0.1787655676	0.01	1	0.06807	0	0	1948	1	2	4.26E-07	54171.8712899999	33499.75	0	0
HDAC1	0.178682263	0.037	0.654	0.1246	0	1	1949	1	2	1.55E-06	111396.4884	66736	1	0
RPLP2	0.178665386	0.01	1	0.06801	0	0	1950	1	2	2.06E-07	111885.6846	60477.6667	0	0
EIF4EBP2	0.1786355499	0.01	1	0.06799	0	0	1951	1	2	2.45E-07	94040.35514	53913.3333	0	0
DCAF12L2	0.1784927796	0.021	0.764	0.10784	0	1	1952	1	2	7.39E-07	81916.8299	46516.013	0	0
NXT1	0.178172074	0.01	1	0.06771	0	0	1953	1	2	1.92E-07	119307.4828	66656	0	0
RAB11FIP3	0.1781311593	0.037	0.653	0.12416	0	0	1954	1	2	1.82E-06	94461.15686	66098	1	1
NUP98	0.1780843628	0.062	0.473	0.14842	0	0	1955	1	2	4.30E-06	116613.6113	62773.3333	3	2
HIGD2A	0.1780679219	0.01	1	0.06765	0	0	1956	1	2	1.93E-07	118534.871	66162.7273	0	0
PCGF5	0.1780531611	0.037	0.652	0.1241	0	0	1957	1	2	1.50E-06	114542.6087	63652	1	1
PRPF39	0.177797831	0.037	0.652	0.12389	0	0	1958	1	2	1.83E-06	93698.93557	66726	1	1
ANKRD11	0.177788579	0.062	0.472	0.14816	0	0	1959	1	2	4.68E-06	106943.4088	61757.3333	3	2
XRCC6	0.1776482908	0.037	0.651	0.12377	0	0	1960	1	2	1.46E-06	117306.2871	66648	1	1
FAM58A	0.1776066709	0.021	0.762	0.1071	0	1	1961	1	2	8.54E-07	70133.52761	40129.25	0	0
TMEM170B	0.1775210708	0.01	1	0.06731	0	0	1962	1	2	2.40E-07	94670.9024399999	48235.4667	0	0
UBR4	0.1775099869	0.091	0.343	0.16417	0	0	1963	1	2	1.19E-05	115565.8416	66098.6667	8	3
PIAS2	0.1772973319	0.036	0.65	0.12349	0	1	1964	1	2	1.55E-06	110189.4836	66230	1	0
FAM163A	0.177192462	0.01	1	0.06711	0	0	1965	1	2	2.08E-07	108785.4677	58425.3333	0	0
WNK3	0.1770722055	0.051	0.537	0.13866	0	0	1966	1	2	4.27E-06	77221.8359799999	6476	2	2
ACTR2	0.1767576004	0.036	0.649	0.12306	0	0	1967	1	2	1.55E-06	109720.2367	66740	1	1
DPF1	0.1765102026	0.036	0.648	0.12286	0	0	1968	1	2	1.64E-06	103495.921	66470	1	1
NANOS2	0.1761007969	0.01	1	0.06645	0	0	1969	1	2	1.96E-07	113865.0286	65475.2727	0	0
H2AFX	0.1756096315	0.01	1	0.06615	0	0	1970	1	2	2.35E-07	94377.74359	61799	0	0
LHX5	0.1753353941	0.021	0.756	0.1052	0	1	1971	1	2	7.63E-07	76358.8	42935.3898	0	0
CDC26	0.1751056854	0.009	1	0.06584	0	0	1972	1	2	1.99E-07	110737.6164	64620	0	0
ARHGAP31	0.1750661985	0.05	0.531	0.13698	0	0	1973	1	2	2.76E-06	117839.008	60095	2	1
KDM6A	0.1750654744	0.05	0.531	0.13698	0	0	1974	1	2	4.28E-06	75989.26164	46641	2	1
VAV1	0.1747465628	0.05	0.53	0.13671	0	0	1975	1	2	2.91E-06	111518.7953	65960	2	2
GPR89A	0.1746393463	0.036	0.643	0.12136	0	0	1976	1	2	1.64E-06	101964.3077	2154	1	1
ARGLU1	0.174544755	0.036	0.642	0.12128	0	0	1977	1	2	1.54E-06	108503.1055	66694	1	1
EVA1B	0.1744441618	0.009	1	0.06544	0	0	1978	1	2	2.70E-07	80929.72	33312.8182	0	0
DEF6	0.1744169687	0.036	0.642	0.12118	0	0	1979	1	2	1.74E-06	95933.15657	66616	1	1
SPTBN1	0.174389338	0.069	0.421	0.15084	0	0	1980	1	2	5.62E-06	117337.143	65958	4	2
FGD1	0.1742725071	0.036	0.642	0.12106	0	1	1981	1	2	2.40E-06	69470.97644	36711	1	0
SRSF6	0.1741069388	0.036	0.641	0.12093	0	0	1982	1	2	1.54E-06	108122.6189	66732	1	1
PPP2R5E	0.1741048877	0.036	0.641	0.12093	0	0	1983	1	2	1.44E-06	115629.2288	66550	1	1
PAIP1	0.1739496497	0.036	0.641	0.1208	0	1	1984	1	2	1.48E-06	112363.8419	66728	1	0
XK	0.1739235963	0.02	0.752	0.10403	0	1	1985	1	2	7.99E-07	71661.76991	37707.0222	0	0
RPLP1	0.1736942031	0.009	1	0.06499	0	0	1986	1	2	2.06E-07	105054.7586	54530.9474	0	0
PBRM1	0.1736559873	0.06	0.462	0.14459	0	1	1987	1	2	4.23E-06	115211.9645	65837.3333	3	1
AL441883.1	0.1735504713	0.009	1	0.0649	0	0	1988	1	2	1.98E-07	109096.8958	45956	0	0
SIPA1L1	0.1735495185	0.06	0.462	0.14449	0	0	1989	1	2	4.13E-06	117919.7702	66242.6667	3	3
HNRNPUL1	0.1735257493	0.05	0.527	0.13569	0	0	1990	1	2	2.93E-06	109825.4102	50800	2	1
NFIB	0.173462982	0.035	0.639	0.12041	0	0	1991	1	2	1.62E-06	102251.9684	66714	1	1
HIST1H2AI	0.1734434882	0.009	1	0.06484	0	0	1992	1	2	1.91E-07	112939.075	64039.7778	0	0
CCL2	0.1734354736	0.009	1	0.06483	0	0	1993	1	2	1.82E-07	118511.703	66632	0	0
TRPC5	0.1733454946	0.035	0.639	0.12032	0	0	1994	1	2	2.00E-06	82745.6604399999	46856	1	1
EBF3	0.1731489542	0.035	0.638	0.12016	0	0	1995	1	2	1.58E-06	104575.3215	63104	1	1
RPS27	0.1731456172	0.009	1	0.06466	0	0	1996	1	2	2.11E-07	101840.8874	44569.4444	0	0
HSD17B10	0.1731175261	0.02	0.75	0.10336	0	1	1997	1	2	7.98E-07	71037.78409	42535.8696	0	0
DCAF15	0.1730403639	0.035	0.638	0.12007	0	0	1998	1	2	1.45E-06	113851.1273	65278	1	1
ZMYM4	0.1730101215	0.06	0.46	0.14403	0	0	1999	1	2	4.22E-06	114999.3075	64348	3	2
NCOA4	0.1730047427	0.035	0.638	0.12005	0	1	2000	1	2	1.49E-06	110762.8323	62998	1	0
PIM2	0.172942434	0.02	0.75	0.10321	0	1	2001	1	2	8.53E-07	66312.74825	38503.9024	0	0
ZC3H7A	0.1728077357	0.05	0.525	0.13509	0	0	2002	1	2	2.77E-06	115590.0892	66636	2	1
C14orf2	0.1727902425	0.009	1	0.06444	0	0	2003	1	2	2.38E-07	89872.55	55944.6	0	0
FKBP1C	0.1727038796	0.009	1	0.06439	0	0	2004	1	2	2.20E-07	97116.80412	59894	0	0
CACNA1A	0.1726550864	0.068	0.417	0.14931	0	0	2005	1	2	7.13E-06	91481.4828	49087	4	4
SCUBE3	0.1724553352	0.049	0.524	0.13479	0	1	2006	1	2	2.75E-06	116144.734	66666	2	0
TEX13A	0.1724391707	0.02	0.748	0.10279	0	1	2007	1	2	7.48E-07	75148.19283	46138.3095	0	0
ETV6	0.1723523578	0.035	0.636	0.11952	0	0	2008	1	2	1.47E-06	111678.3574	66314	1	1
SNX2	0.1722123631	0.035	0.636	0.11941	0	0	2009	1	2	1.48E-06	110797.8408	65294	1	1
DUSP28	0.1721750635	0.009	1	0.06407	0	0	2010	1	2	3.03E-07	70030.31496	36474	0	0
CHD2	0.172054038	0.068	0.415	0.14878	0	0	2011	1	2	5.72E-06	113597.8721	65770.5	4	2
RPL36	0.1718975008	0.009	1	0.06391	0	0	2012	1	2	2.37E-07	89208.71287	60124.8696	0	0
CDK19	0.1718582842	0.035	0.635	0.11913	0	0	2013	1	2	1.51E-06	108284.5721	66312	1	1
PFN1	0.1716850723	0.009	1	0.06378	0	0	2014	1	2	2.15E-07	98064.33333	49791.0526	0	0
ARID1B	0.1715741777	0.06	0.457	0.14279	0	0	2015	1	2	4.65E-06	103386.1551	63019.3333	3	3
CDH11	0.171458477	0.035	0.633	0.11881	0	0	2016	1	2	1.44E-06	113179.3605	2664	1	0
DDB1	0.1713746268	0.049	0.522	0.13389	0	0	2017	1	2	2.78E-06	114024.714	66715	2	1
SP3	0.1711492077	0.035	0.632	0.11856	0	1	2018	1	2	1.58E-06	102890.8696	66740	1	0
FBLN5	0.1711312866	0.035	0.632	0.11855	0	0	2019	1	2	1.46E-06	111331.3596	66616	1	1
OSGIN2	0.1709187559	0.035	0.632	0.11838	0	1	2020	1	2	1.45E-06	111904.6557	66704	1	0
DYNLT3	0.1708801295	0.009	1	0.0633	0	0	2021	1	2	3.26E-07	63994.8282799999	39789.6471	0	0
CEND1	0.1707994514	0.009	1	0.06325	0	0	2022	1	2	2.07E-07	100677.1452	60025.7391	0	0
CNNM2	0.1707569398	0.035	0.631	0.11825	0	1	2023	1	2	1.56E-06	103876.3592	66386	1	0
EDA	0.1706536881	0.02	0.744	0.10131	0	1	2024	1	2	8.11E-07	67772.51152	41939.0698	0	0
LMNB2	0.1706307742	0.035	0.631	0.11815	0	1	2025	1	2	1.50E-06	107919.8924	18348	1	0
REV3L	0.170539041	0.074	0.382	0.15124	0	0	2026	1	2	7.06E-06	114920.9163	65406	5	4
APEX2	0.1703688876	0.02	0.743	0.10107	0	1	2027	1	2	7.97E-07	68714.86235	40593.1343	0	0
ST5	0.170355021	0.049	0.519	0.13304	0	0	2028	1	2	3.03E-06	103867.7891	65078	2	2
KRTAP17-1	0.1703312363	0.009	1	0.06297	0	0	2029	1	2	2.11E-07	98160.46154	51722.88	0	0
PAGE4	0.1703230362	0.009	1	0.06296	0	0	2030	1	2	3.65E-07	56738.66667	28889.75	0	0
TFDP2	0.1702734553	0.035	0.63	0.11786	0	0	2031	1	2	1.47E-06	109800.2514	66618	1	1
SLC12A5	0.1701471465	0.049	0.518	0.13286	0	0	2032	1	2	2.80E-06	112234.7118	66212	2	1
WFDC2	0.1699795869	0.009	1	0.06276	0	0	2033	1	2	2.27E-07	90818.15642	50683.2353	0	0
SPANXN3	0.1699239066	0.009	1	0.06272	0	0	2034	1	2	2.40E-07	85835.4898	47718.2143	0	0
UBQLN2	0.1695922027	0.019	0.741	0.10043	0	1	2035	1	2	7.52E-07	72111.8411799999	35399.1711	0	0
RPS4Y1	0.1694776155	0.009	1	0.06246	0	0	2036	1	2	6.66E-07	30749	18235.4	0	0
SMARCA1	0.1694600432	0.049	0.517	0.13229	0	0	2037	1	2	3.80E-06	82297.50314	47557	2	2
HMGN4	0.1694553601	0.009	1	0.06244	0	0	2038	1	2	1.74E-07	117659.6226	66465.3333	0	0
BPTF	0.1691858151	0.073	0.38	0.15002	0	0	2039	1	2	7.00E-06	114920.5398	66349.5	5	2
TMEM47	0.1691547365	0.009	1	0.06226	0	0	2040	1	2	4.13E-07	49372.8787899999	23097.7097	0	0
ARHGAP4	0.1688692265	0.034	0.626	0.11674	0	0	2041	1	2	2.61E-06	61130.24297	44184	1	1
TEX10	0.1688462936	0.048	0.515	0.13178	0	0	2042	1	2	2.74E-06	113638.0404	47588	2	1
TPR	0.1688375741	0.073	0.379	0.1497	0	1	2043	1	2	7.02E-06	114340.4083	66094.8	5	1
AMMECR1	0.168827588	0.019	0.739	0.0998	0	1	2044	1	2	8.49E-07	63252.31902	29752.2368	0	0
CLCN5	0.1688254141	0.034	0.626	0.11671	0	0	2045	1	2	2.09E-06	76312.02005	45884	1	1
AC103809.2	0.1686934573	0.009	1	0.06199	0	1	2046	1	2	2.45E-07	82717.56923	66302	0	0
BCAR1	0.1685117986	0.034	0.625	0.11646	0	0	2047	1	2	1.77E-06	89874.85097	10876	1	1
KCNE4	0.1684865126	0.009	1	0.06187	0	0	2048	1	2	1.82E-07	111042.5785	65791.1795	0	0
KIF11	0.1684416722	0.048	0.514	0.13144	0	0	2049	1	2	2.77E-06	112083.3437	66684	2	2
TBCA	0.1683580603	0.009	1	0.06179	0	0	2050	1	2	2.75E-07	73363.6	45604.2667	0	0
FBXO33	0.1682113937	0.034	0.624	0.11622	0	1	2051	1	2	1.54E-06	103040.6441	65114	1	0
CTXN3	0.1681079527	0.009	1	0.06164	0	0	2052	1	2	1.66E-07	121128.8358	66701.5789	0	0
SYP	0.1677352039	0.019	0.736	0.09889	0	1	2053	1	2	8.56E-07	61860.51656	34421.4211	0	0
PIAS1	0.1677019456	0.034	0.622	0.11581	0	0	2054	1	2	1.67E-06	94617.91403	48046	1	1
BAG6	0.1676974741	0.048	0.512	0.13082	0	0	2055	1	2	2.83E-06	109124.3454	62630	2	1
ACTN1	0.1676857931	0.048	0.512	0.13081	0	0	2056	1	2	2.77E-06	111478.7115	60129	2	2
UBALD1	0.1676641989	0.009	1	0.06138	0	0	2057	1	2	2.99E-07	66848.45794	35715.1389	0	0
SPACA4	0.1674234618	0.009	1	0.06123	0	0	2058	1	2	2.01E-07	99118.83117	58432	0	0
BAI1	0.1673956203	0.048	0.511	0.13057	0	0	2059	1	2	3.81E-06	80880.21581	47144	2	2
OXT	0.1673808427	0.009	1	0.06121	0	0	2060	1	2	2.35E-07	84729.4559999999	42037.12	0	0
SBNO1	0.1673116758	0.058	0.446	0.13911	0	0	2061	1	2	4.08E-06	114528.8105	51755	3	2
ATP6V1F	0.1672976323	0.009	1	0.06116	0	0	2062	1	2	1.95E-07	101995.129	63311.36	0	0
PRR13	0.1672634034	0.009	1	0.06114	0	0	2063	1	2	1.99E-07	99898.74667	40586.5714	0	0
PLEKHA5	0.1670402771	0.058	0.446	0.13887	0	0	2064	1	2	4.41E-06	105764.6667	63834.6667	3	2
SS18	0.1666860719	0.034	0.62	0.115	0	1	2065	1	2	1.44E-06	108803.6212	66676	1	0
CUL5	0.1666034807	0.048	0.509	0.12991	0	0	2066	1	2	2.74E-06	111825.3432	65149	2	1
BRAF	0.1663924065	0.048	0.508	0.12973	0	0	2067	1	2	2.88E-06	106227.4058	66650	2	2
EXOC5	0.1659882791	0.034	0.617	0.11445	0	1	2068	1	2	1.73E-06	90036.11794	59822	1	0
MT1E	0.1659869239	0.009	1	0.06038	0	0	2069	1	2	1.74E-07	112288.0468	55371.0769	0	0
CSE1L	0.1656541073	0.047	0.506	0.12911	0	1	2070	1	2	2.64E-06	115266.8187	65747	2	0
TULP4	0.1656494545	0.047	0.506	0.12911	0	0	2071	1	2	2.67E-06	113967.8397	66711	2	2
SS18L1	0.1655124191	0.033	0.616	0.11407	0	0	2072	1	2	1.51E-06	102741.4882	50420	1	1
SNRNP70	0.1654051067	0.033	0.616	0.11398	0	0	2073	1	2	1.82E-06	85164.44932	2812	1	1
KANSL2	0.1651510914	0.033	0.615	0.11378	0	1	2074	1	2	1.74E-06	88889.21839	10194	1	0
TIMM8A	0.1648295817	0.008	1	0.0597	0	0	2075	1	2	2.48E-07	77542.52941	47971.375	0	0
ZMYND8	0.1647877174	0.047	0.504	0.12839	0	1	2076	1	2	2.71E-06	111584.3024	66722	2	0
KRTAP6-3	0.1644739445	0.008	1	0.05949	0	0	2077	1	2	1.75E-07	109351.2353	62367.7778	0	0
VMA21	0.1643355605	0.008	1	0.05941	0	0	2078	1	2	3.29E-07	58054.4457799999	40393.0556	0	0
ZNF644	0.1640035772	0.047	0.502	0.12774	0	0	2079	1	2	2.49E-06	120749.4917	66420	2	1
TMEM167B	0.1634631952	0.008	1	0.0589	0	0	2080	1	2	1.73E-07	109076.241	66728.4615	0	0
HMGA1	0.1632143579	0.008	1	0.05875	0	0	2081	1	2	3.39E-07	55471.6419799999	21037.6585	0	0
PQBP1	0.1630552026	0.018	0.723	0.09504	0	1	2082	1	2	8.43E-07	59075.1831	35118.2105	0	0
DCAF10	0.1628188295	0.033	0.608	0.11193	0	0	2083	1	2	1.61E-06	94179.41129	65816	1	1
SPIN2B	0.1622673279	0.008	1	0.0582	0	0	2084	1	2	4.09E-07	45372.28571	28273.6667	0	0
SLC4A2	0.1622488983	0.046	0.497	0.12628	0	0	2085	1	2	2.74E-06	108324.504	47380	2	2
KRTAP4-1	0.1620375015	0.008	1	0.05806	0	0	2086	1	2	1.89E-07	97869.78295	62460.4	0	0
USP32	0.161952371	0.064	0.392	0.13985	0	0	2087	1	2	5.22E-06	116519.6424	66403	4	2
LDOC1	0.1617714701	0.008	1	0.05791	0	0	2088	1	2	2.77E-07	66527.75	45890.1875	0	0
CHRAC1	0.1616440196	0.008	1	0.05783	0	0	2089	1	2	2.20E-07	83613.9708	33838.4545	0	0
LAMC1	0.1613915057	0.056	0.432	0.134	0	1	2090	1	2	3.86E-06	116237.784	66149.3333	3	0
STAG1	0.1613327463	0.056	0.432	0.13395	0	1	2091	1	2	4.06E-06	110466.4676	66472.6667	3	1
PGRMC1	0.161196386	0.008	1	0.05757	0	0	2092	1	2	2.53E-07	72248.93204	41421.7037	0	0
PCDH19	0.1611532707	0.032	0.603	0.11061	0	1	2093	1	2	1.83E-06	81677.89538	47897	1	0
TCEB1	0.1611479533	0.008	1	0.05754	0	0	2094	1	2	1.88E-07	97161.90476	62743.4667	0	0
ARHGAP5	0.1610213617	0.046	0.494	0.12526	0	1	2095	1	2	2.50E-06	117646.9318	66313	2	0
ZXDB	0.1608165715	0.018	0.717	0.09321	0	1	2096	1	2	8.66E-07	55801.48108	29078.2424	0	0
ZNF706	0.160767388	0.008	1	0.05732	0	0	2097	1	2	1.69E-07	107503.0847	64864.8	0	0
TRAPPC8	0.160767113	0.056	0.43	0.13347	0	0	2098	1	2	4.03E-06	110849.4706	64326.6667	3	3
ZFHX4	0.1607192991	0.063	0.39	0.13876	0	0	2099	1	2	5.65E-06	106758.4321	66345	4	2
SEMA6D	0.1606116942	0.046	0.493	0.12492	0	1	2100	1	2	2.49E-06	117759.1106	66041	2	0
SIK1	0.1605999973	0.032	0.602	0.11017	0	0	2101	1	2	1.63E-06	91261.17872	59468	1	1
TRIAP1	0.160177633	0.008	1	0.05698	0	0	2102	1	2	1.49E-07	120912.5263	66588.3077	0	0
ARHGAP6	0.1601721863	0.032	0.6	0.10983	0	1	2103	1	2	2.13E-06	69579.21107	29100	1	0
DENND5B	0.1601431075	0.046	0.492	0.12453	0	0	2104	1	2	3.11E-06	93953.29496	66696	2	1
DYNC1LI1	0.1601329361	0.032	0.6	0.1098	0	0	2105	1	2	1.48E-06	100103.4508	66724	1	1
PTGES	0.1598860589	0.008	1	0.05681	0	0	2106	1	2	2.22E-07	80815.3023299999	41836.6154	0	0
CASZ1	0.1595609786	0.045	0.49	0.12404	0	0	2107	1	2	2.79E-06	104273.0937	66115	2	2
SYNPO	0.1593987053	0.032	0.598	0.10922	0	1	2108	1	2	1.55E-06	94972.46182	66374	1	0
AC110615.1	0.1588207481	0.008	1	0.05619	0	0	2109	1	2	1.48E-07	119380.0444	66199.2857	0	0
SCAI	0.1586144526	0.045	0.488	0.12326	0	0	2110	1	2	2.52E-06	114624.9823	65467	2	1
SEMA3F	0.1585796122	0.045	0.488	0.12323	0	0	2111	1	2	2.63E-06	109801.875999999	65744	2	2
ANKRD13D	0.1585231132	0.032	0.595	0.10853	0	1	2112	1	2	1.48E-06	98703.97398	66578	1	0
MID1IP1	0.1582424895	0.008	0.998	0.05586	0	0	2113	1	2	2.21E-07	79280.35789	44365.7353	0	0
ACVR2B	0.1578632413	0.035	0.55	0.11384	0	1	2114	1	2	1.42E-06	118416.2458	66360	1	0
RPL39	0.1578592816	0.008	0.996	0.05564	0	0	2115	1	2	2.48E-07	70256.64815	47750	0	0
RAB11FIP4	0.1578351524	0.032	0.593	0.10799	0	0	2116	1	2	1.55E-06	93677.08922	66288	1	1
KRTAP12-3	0.1577528448	0.008	0.996	0.05558	0	0	2117	1	2	1.46E-07	119155.2222	66622	0	0
UCN3	0.1576404036	0.008	0.995	0.05551	0	0	2118	1	2	1.51E-07	115021.0169	63847.2571	0	0
SIK2	0.1573017341	0.045	0.484	0.12217	0	0	2119	1	2	2.48E-06	115320.0069	66428	2	1
SAFB	0.1572970542	0.045	0.484	0.12216	0	1	2120	1	2	2.63E-06	108738.9458	63008	2	0
HIST2H3D	0.157151404	0.008	0.993	0.05523	0	0	2121	1	2	1.47E-07	117309.6154	62324.7333	0	0
GRIK3	0.1571317253	0.045	0.484	0.12203	0	0	2122	1	2	2.55E-06	112009.2157	66730	2	1
HSP90AB1	0.1567045788	0.034	0.547	0.11288	0	0	2123	1	2	1.40E-06	118869.3596	66740	1	1
NFATC3	0.1565858464	0.044	0.482	0.12157	0	0	2124	1	2	2.48E-06	114691.8535	66698	2	1
CYCS	0.156442406	0.008	0.99	0.05482	0	0	2125	1	2	1.43E-07	119341.9701	66252.7368	0	0
PHLDA3	0.1564405046	0.008	0.99	0.05482	0	0	2126	1	2	1.57E-07	108696.966999999	59320.5	0	0
CALML5	0.1564068341	0.008	0.99	0.0548	0	0	2127	1	2	1.66E-07	102752.7813	58910.85	0	0
